Year,R,S,P,shortfall
2005,271,35,19,252
2006,273,34,7,266
2007,273,34,6,267
2008,273,34,6,267
2009,281,35,8,273
2010,290,34,11,279
2011,305,34,9,296
2012,318,34,9,309
2013,318,33,31,287
2014,300,33,31,269
