Year,R,S,P,shortfall
2005,3222,1867,1189,2033
2006,3910,2581,1338,2572
2007,4045,2679,1357,2688
2008,4276,2125,1174,3102
2009,4510,2230,1458,3052
2010,4535,2429,1939,2596
2011,4809,1958,1389,3420
2012,4833,2598,1615,3218
2013,5187,3160,1959,3228
2014,5363,3398,1263,4100
