Year,R,S,P,shortfall
2005,70,69,26,44
2006,80,69,26,54
2007,80,69,26,54
2008,85,69,28,57
2009,85,111,35,50
2010,77,84,51,26
2011,83,84,55,28
2012,84,84,58,26
2013,84,84,56,28
2014,84,84,56,28
