Year,R,S,P,shortfall
2005,117,105,105,12
2006,126,89,41,85
2007,126,89,41,85
2008,126,85,46,80
2009,129,112,70,59
2010,129,112,75,54
2011,129,115,74,55
2012,132,123,66,66
2013,142,142,66,76
2014,150,145,60,90
