Year,R,S,P,shortfall
2005,95,80,41,54
2006,346,346,346,0
2007,346,346,346,0
2008,349,58,38,311
2009,334,271,116,218
2010,348,271,116,232
2011,348,271,116,232
2012,348,271,116,232
2013,347,787,472,-125
2014,347,787,46,301
