Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],shortfall
2005,382,497,225,157
2006,407,407,106,301
2007,407,407,106,301
2008,407,69,99,308
2009,376,69,133,243
2010,365,69,271,94
2011,365,178,181,184
2012,363,178,181,182
2013,361,224,163,198
2014,360,224,137,223
