Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],shortfall
2005,298,95,78,220
2006,325,95,76,249
2007,337,97,78,259
2008,349,94,71,278
2009,367,97,103,264
2010,368,111,83,285
2011,376,189,143,233
2012,382,28,11,371
2013,431,28,11,420
2014,567,214,102,465
