Year,Paediatricians - Required1 - [R],Paediatricians - Sanctioned - [S],Paediatricians - In Position - [P],shortfall
2005,95,80,11,84
2006,346,346,278,68
2007,346,346,278,68
2008,349,54,25,324
2009,334,271,59,275
2010,348,271,59,289
2011,348,271,59,289
2012,348,271,59,289
2013,347,179,119,228
2014,347,179,19,328
